name,description,price,stock
Laptop,Powerful laptop with 16GB RAM and 512GB SSD,1250.00,12
Wireless Mouse,Ergonomic wireless mouse with 2.4GHz connection,45.99,45
Mechanical Keyboard,RGB mechanical keyboard with blue switches,89.50,30
27-inch Monitor,Full HD IPS monitor with HDMI support,320.00,15
USB-C Hub,"Multi-port USB-C hub with HDMI, USB 3.0 and SD card reader",25.00,60
Smartphone,Latest model smartphone with AMOLED display and 128GB storage,980.00,20
Bluetooth Speaker,Portable speaker with deep bass and 10-hour battery,115.75,25
Gaming Chair,Ergonomic gaming chair with adjustable height and lumbar support,450.00,10
Desk Lamp,LED desk lamp with touch controls and brightness levels,35.99,35
External SSD,1TB portable SSD with USB 3.1 interface,149.90,18
HD Webcam,1080p HD webcam with microphone and tripod mount,85.00,22
Ergonomic Mousepad,Memory foam mousepad with wrist support,19.50,55
Laptop Stand,Adjustable aluminum stand for laptops up to 17",39.90,40
Wireless Charger,Fast charging wireless pad for iOS and Android,49.00,28
Noise Cancelling Headphones,Over-ear headphones with active noise cancellation,189.99,12
Smartwatch,Smartwatch with fitness tracking and message alerts,229.00,17
Portable Power Bank,10000mAh power bank with dual USB output,39.00,65
Backpack,Water-resistant tech backpack with USB charging port,65.00,30
Graphic Tablet,Drawing tablet with pressure-sensitive pen and shortcuts,170.00,8
4K Monitor,Ultra HD monitor with HDR and 60Hz refresh rate,520.00,9
